2018-04-16 16:36:51 reliableudp.go:13 DEBUG this=0xc420084000
2018-04-16 16:36:51 udpsession.go:94 DEBUG u.recv=0xc420084000
2018-04-16 16:36:51 udpsession.go:29 DEBUG ListUDP OK. IP=0.0.0.0 PORT:8008
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
2018-04-16 16:36:51 udpsession.go:81 DEBUG bufferList=0
